gene,p_value,log2FC,p_adjusted
201525_at,5.9172762718270857e-08,-1.3487041601443204,1.5844413836260479e-06
229947_at,7.841346707349521e-08,-1.0870859772971848,1.955118786204581e-06
225895_at,1.3940708587091093e-07,-1.0806640884929803,3.0549428537042305e-06
202409_at,1.8059956538026152e-07,-1.0870583846877053,3.758767124920365e-06
203477_at,2.0132214739295832e-07,-1.0460851433425997,4.101076158237703e-06
219926_at,2.2909511336959167e-07,1.0121165178250544,4.5399693089823945e-06
225207_at,2.31169317079562e-07,-1.1609990598586852,4.565113920949237e-06
218541_s_at,2.804547420763347e-07,-1.0976986396292443,5.342809415687665e-06
1561754_at,3.516672278365244e-07,-1.0036297537629624,6.370909768708407e-06
217022_s_at,3.8240613702519903e-07,-1.4200081398177697,6.826082204549779e-06
209540_at,4.024032836059981e-07,-1.2876840948190258,7.114436212376636e-06
222722_at,5.347501301393298e-07,-1.1981803624500462,8.892172556377086e-06
210809_s_at,5.927375608942224e-07,-1.280368763997001,9.67978678073226e-06
227646_at,6.262224253447982e-07,-1.0185540468091945,1.0123805767512371e-05
201744_s_at,7.968071468335235e-07,-1.40850212592103,1.2222061787052275e-05
211161_s_at,8.29014570045093e-07,-1.2936070432056608,1.2590658782559848e-05
202403_s_at,1.4398570798984803e-06,-1.021310191023298,1.955394581307735e-05
213764_s_at,1.7315714647479158e-06,-1.1015945327977374,2.262268331097916e-05
202878_s_at,1.8740328884813661e-06,-1.1929200620451135,2.4097541904449363e-05
214677_x_at,2.0138745578179634e-06,-1.3120467519753354,2.5470412086212618e-05
228854_at,2.722827274307902e-06,-1.1315426817918837,3.2532906735748374e-05
202404_s_at,2.7332686198546464e-06,-1.1394034742821355,3.2614897815485114e-05
49452_at,3.3719932806228308e-06,-1.1272929360772208,3.8473233017122974e-05
209541_at,3.5054355933277308e-06,-1.397618335471148,3.9631863330271646e-05
215076_s_at,3.910242744016117e-06,-1.1065479679154895,4.3321686328081296e-05
219777_at,4.200282598275489e-06,-1.4456517710832106,4.59117255219337e-05
228071_at,4.405570742504854e-06,-1.0925669066761872,4.7726288953131154e-05
229839_at,4.741052259016605e-06,-1.0875276149980195,5.0638216890356104e-05
226147_s_at,4.920969420451489e-06,-1.4770902510015398,5.218270036136253e-05
219134_at,5.126852285194136e-06,-1.173845491982821,5.390589397942104e-05
201852_x_at,5.835001067547037e-06,-1.0944834324635973,6.001873981965066e-05
230867_at,6.4948993312376695e-06,-1.1298988278925817,6.546987849104343e-05
219689_at,6.579145303062524e-06,-1.1381886820502656,6.614835775008156e-05
236262_at,6.751249455704209e-06,-1.0192334826216307,6.758047674672787e-05
212667_at,7.5428874303343635e-06,-1.106603187391799,7.41739874556711e-05
203549_s_at,8.235609822310293e-06,-1.1668534580075205,7.945144623413388e-05
206378_at,9.02745363257377e-06,-1.7019167439011869,8.548251253220833e-05
205498_at,9.53697404223116e-06,-1.038056386780896,8.945514766838028e-05
228766_at,9.801536270061642e-06,-1.5674000166869735,9.152843647576777e-05
218087_s_at,1.012047973694147e-05,-1.2868546365769584,9.397711100836869e-05
206509_at,1.1283424529317042e-05,-1.1050066258649602,0.00010258085070508966
206742_at,1.204992698458466e-05,-1.0656875190322483,0.00010837798287253928
213975_s_at,1.2500682866691196e-05,-1.26408481803806,0.00011158772828348427
209613_s_at,1.5140356443630051e-05,-1.6572207452145415,0.00013052648826166401
207175_at,1.554795582873501e-05,-1.671074199756999,0.0001336190639635471
43427_at,1.5680611882956682e-05,-1.0490131450915001,0.00013442104965516723
218730_s_at,1.6079924771487607e-05,-1.290680086310452,0.00013709182705147122
214451_at,1.9218787103492536e-05,-1.1876643408403118,0.00015813200675447018
223343_at,1.9580923275576732e-05,-1.2619451226194887,0.00016050779311726503
212671_s_at,2.0009870054667673e-05,-1.0286734339428647,0.00016338704379315338
211430_s_at,2.091422266215589e-05,-1.2285473488640526,0.00016911300964014546
212592_at,2.1206686240065414e-05,-1.5006341277878354,0.0001709671848831816
1562755_at,2.469449154832097e-05,-1.006507667421597,0.00019312992782212114
204894_s_at,3.000374924316702e-05,-1.2370340985099557,0.0002264570665199002
206488_s_at,3.060947454738897e-05,-1.295724995706438,0.00023017095597283618
206799_at,4.5696329130662344e-05,-1.4471967371280727,0.00031924952660605213
235306_at,4.7181828350094166e-05,-1.078696072765799,0.0003274519503733687
224012_at,5.16784987785291e-05,-1.042493101941657,0.00035204609029604767
209555_s_at,5.689367339676711e-05,-1.3632203276048933,0.0003815358264403584
214414_x_at,6.38264941056622e-05,-1.2199284002044908,0.0004173799264713647
209612_s_at,6.992351174889067e-05,-1.408307139180055,0.0004509398448774001
243689_s_at,7.283142962406147e-05,-1.0739076205405478,0.0004661740124907002
1560144_at,8.099106102747e-05,-1.1217099167138211,0.0005101597075664656
204602_at,8.372620626577217e-05,1.0859579191088566,0.0005238293974015598
239262_at,9.233353189267962e-05,-1.123029086999883,0.0005679945832844575
204438_at,9.276015419996112e-05,-1.1211930545814919,0.0005700417478793834
203548_s_at,9.904937627461525e-05,-1.3162995691433101,0.0006015547255169178
209686_at,0.0001012030308996401,-1.2456105715421628,0.000612291215496052
229580_at,0.0001090584869801543,-1.021672607290405,0.0006504606496825501
214087_s_at,0.00016994896790577333,-1.1459308299817892,0.0009366636679174074
216623_x_at,0.00019715228690088383,-1.0011102724327587,0.0010574162533162471
205913_at,0.0001994207031638066,-1.0618620288643719,0.0010671749971108081
229476_s_at,0.00020776137118981775,-1.1093917822338273,0.0011040288628441331
206201_s_at,0.00022244134113277197,-1.2243150393670372,0.001167961233691953
205440_s_at,0.00023169226955669102,-1.1561318553970703,0.0012084112217888086
210170_at,0.00024277155254127412,-1.1446948198952596,0.001253876311656354
1558170_at,0.00037925972489936396,-1.0498277146405406,0.001804859035501151
1552509_a_at,0.000400551476697708,-1.219459172133947,0.0018910415325487596
219140_s_at,0.0005614864011711658,-1.0197152568189456,0.002502385799154996
240724_at,0.000648586061625811,-1.0211532253860152,0.002819547023884171
204712_at,0.0007907148591649305,-1.1579609029007698,0.003306488330771899
235978_at,0.0010827857548233184,-1.1253959888296392,0.004284361784988054
207092_at,0.0020814773853497113,-1.117293484200592,0.007371253063281007
216834_at,0.0024774164600622163,-1.032214636833833,0.008518789670168017
